,price,date_sold,suburb,num_bath,num_bed,num_parking,property_size,type,suburb_population,suburb_median_income,cash_rate,property_inflation_index,km_from_cbd,population_(rounded)*,median_house_price_(2020),median_house_price_(2021),%_change,median_house_rent_(per_week),median_apartment_price_(2020),median_apartment_rent_(per_week),public_housing_%,avg._years_held,time_to_cbd_(public_transport)_[town_hall_st],time_to_cbd_(driving)_[town_hall_st]
0,530000,2016-01-13,Kincumber,4,4,2,1351,House,7093,29432,2.0,150.9,47.05,,,,,,,,,,,
1,525000,2016-01-13,Halekulani,2,4,2,594,House,2538,24752,2.0,150.9,78.54,,,,,,,,,,,
2,480000,2016-01-13,Chittaway Bay,2,4,2,468,House,2028,31668,2.0,150.9,63.59,,,,,,,,,,,
3,452000,2016-01-13,Leumeah,1,3,1,344,House,9835,32292,2.0,150.9,40.12,10000.0,590000.0,680000.0,15.25,385.0,380000.0,345.0,10.0,12.7,60.0,50.0
4,365500,2016-01-13,North Avoca,0,0,0,1850,Land,2200,45084,2.0,150.9,49.98,,,,,,,,,,,
5,550000,2016-01-15,Kincumber,1,3,1,626,House,7093,29432,2.0,150.9,47.05,,,,,,,,,,,
6,535000,2016-01-15,Bensville,1,3,1,556,House,2545,36764,2.0,150.9,43.91,,,,,,,,,,,
7,495000,2016-01-15,Leumeah,1,3,2,582,House,9835,32292,2.0,150.9,40.12,10000.0,590000.0,680000.0,15.25,385.0,380000.0,345.0,10.0,12.7,60.0,50.0
8,410000,2016-01-15,Toukley,1,3,3,493,House,4550,25844,2.0,150.9,74.11,,,,,,,,,,,
9,242500,2016-01-15,Winmalee,0,0,0,1248,Land,6202,38740,2.0,150.9,59.15,,,,,,,,,,,
10,6500000,2016-01-16,Point Clare,1,3,2,742,House,3731,31772,2.0,150.9,48.17,,,,,,,,,,,
11,890000,2016-01-18,Picnic Point,2,4,3,715,House,6160,40560,2.0,150.9,22.31,6250.0,1000000.0,1200000.0,20.0,625.0,740000.0,580.0,1.0,12.2,60.0,35.0
12,533000,2016-01-18,Whalan,3,4,2,695,House,5973,24180,2.0,150.9,39.53,6000.0,470000.0,590000.0,25.53,340.0,725000.0,280.0,33.0,11.2,65.0,50.0
13,1120500,2016-01-19,North Rocks,2,4,2,904,House,7965,40092,2.0,150.9,20.61,8000.0,1250000.0,1500000.0,20.0,590.0,605000.0,495.0,0.0,17.1,60.0,35.0
14,830000,2016-01-19,Winmalee,3,6,2,2109,House,6202,38740,2.0,150.9,59.15,,,,,,,,,,,
15,675000,2016-01-19,Bass Hill,3,3,2,263,House,9069,24388,2.0,150.9,20.43,9250.0,790000.0,900000.0,13.92,570.0,725000.0,470.0,12.0,14.3,70.0,40.0
16,500000,2016-01-19,Kincumber,1,3,1,791,House,7093,29432,2.0,150.9,47.05,,,,,,,,,,,
17,473000,2016-01-19,Leumeah,1,3,3,581,House,9835,32292,2.0,150.9,40.12,10000.0,590000.0,680000.0,15.25,385.0,380000.0,345.0,10.0,12.7,60.0,50.0
18,885000,2016-01-20,Picnic Point,1,3,2,557,Land,6160,40560,2.0,150.9,22.31,6250.0,1000000.0,1200000.0,20.0,625.0,740000.0,580.0,1.0,12.2,60.0,35.0
19,625000,2016-01-20,Chittaway Bay,2,4,2,555,House,2028,31668,2.0,150.9,63.59,,,,,,,,,,,
