Price,Date Sold,Suburb,Num Bath,Num Bed,Num Parking,Property Size,Type,Suburb Population,Suburb Median Income,Cash Rate,Property Inflation Index,Km From Cbd,Population (Rounded)*,Median House Price (2020),Median House Price (2021),Percentage Change,Median House Rent (Per Week),Median Apartment Price (2020),Median Apartment Rent (Per Week),Public Housing Percentage,Avg. Years Held,Time To Cbd (Public Transport) [Town Hall St],Time To Cbd (Driving) [Town Hall St]
452000,2016-01-13,Leumeah,1,3,1,344,House,9835,32292,2.0,150.9,40.12,10000.0,590000.0,680000.0,15.25,385.0,380000.0,345.0,10.0,12.7,60.0,50.0
495000,2016-01-15,Leumeah,1,3,2,582,House,9835,32292,2.0,150.9,40.12,10000.0,590000.0,680000.0,15.25,385.0,380000.0,345.0,10.0,12.7,60.0,50.0
890000,2016-01-18,Picnic Point,2,4,3,715,House,6160,40560,2.0,150.9,22.31,6250.0,1000000.0,1200000.0,20.0,625.0,740000.0,580.0,1.0,12.2,60.0,35.0
533000,2016-01-18,Whalan,3,4,2,695,House,5973,24180,2.0,150.9,39.53,6000.0,470000.0,590000.0,25.53,340.0,725000.0,280.0,33.0,11.2,65.0,50.0
1120500,2016-01-19,North Rocks,2,4,2,904,House,7965,40092,2.0,150.9,20.61,8000.0,1250000.0,1500000.0,20.0,590.0,605000.0,495.0,0.0,17.1,60.0,35.0
675000,2016-01-19,Bass Hill,3,3,2,263,House,9069,24388,2.0,150.9,20.43,9250.0,790000.0,900000.0,13.92,570.0,725000.0,470.0,12.0,14.3,70.0,40.0
473000,2016-01-19,Leumeah,1,3,3,581,House,9835,32292,2.0,150.9,40.12,10000.0,590000.0,680000.0,15.25,385.0,380000.0,345.0,10.0,12.7,60.0,50.0
885000,2016-01-20,Picnic Point,1,3,2,557,Land,6160,40560,2.0,150.9,22.31,6250.0,1000000.0,1200000.0,20.0,625.0,740000.0,580.0,1.0,12.2,60.0,35.0
520000,2016-01-20,Leumeah,1,3,1,651,House,9835,32292,2.0,150.9,40.12,10000.0,590000.0,680000.0,15.25,385.0,380000.0,345.0,10.0,12.7,60.0,50.0
1250000,2016-01-22,North Rocks,1,3,4,900,House,7965,40092,2.0,150.9,20.61,8000.0,1250000.0,1500000.0,20.0,590.0,605000.0,495.0,0.0,17.1,60.0,35.0
